Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
-,6.81,4.30,0.00%,1.55B,0.45%,45.34B,6.45,7.89%,-,1.55B,6.31%,6.84B,1.46,0.72,21.64%,0.31%,12.60%,143.69B,0.32,-3.03%,4.47%,3.09,-5.36%,53.74,0.55,3.47%,4.79M,-16.70%,20.41,1.44,4.66%,8.11%,23.41 - 37.90,2.70%,1.36 (4.63%),174.21,8.48%,5.42%,-22.64%,0.54,1.42 (4.84%),1.10,0.03%,21.49%,25.25%,0.62,"Sep 27, 2024",1.38,6.93%,6.61%,61.28,1.74% 1.75%,194993,0.88,4.37%,4.76%,1.71,34.46,Yes / Yes,0.52,23.91%,13.90%,0.48,28.83,3.88%,9.49%,-0.40%,Feb 13 AMC,1.55M,29.32,4.24%,3.51%,-1.81%,,"184,934",1.70%,HMC
-,13.24,0.92,0.07%,622.18M,2.83%,7.58B,7.06,20.56%,0.00%,621.73M,2.48%,580.30M,0.68,-,24.10%,1.63%,31.05%,3.80B,1.99,39.10%,57.74%,1.49,38.51%,3.90,3.12,16.77%,10.14M,56.89%,0.83,14.75,19.56%,25.19%,7.21 - 12.48,48.29%,0.21 (1.71%),14.58,-,22.88%,-2.48%,1.51,0.13 (1.08%),1.46,13.73%,31.52%,68.86%,0.52,"Apr 11, 2025",1.84,20.44%,28.29%,61.99,4.25% 3.95%,34715,0.05,20.35%,15.28%,3.50,12.05,Yes / Yes,0.04,37.42%,14.15%,0.83,12.21,-,-,26.51%,Mar 04 BMO,6.83M,12.18,8.98%,13.84%,23.25%,,"1,397,405",-0.29%,HMY
-,13.94,1.62,43.70%,7.43M,5.28%,161.74M,7.19,35.27%,-0.73%,4.03M,-12.15%,11.80M,-,0.48,18.48%,1.29%,-11.04%,146.76M,1.10,40.06%,37.69%,2.89,29.59%,26.48,0.85,0.53%,0.05M,31.70%,-,-,-,6.17%,13.62 - 27.14,-1.91%,0.40 (1.77%),52.69,-2.99%,3.49%,-16.68%,0.11,0.40 (1.77%),-,31.42%,-,66.03%,1.27,"Feb 12, 2025",0.12,-11.28%,10.91%,42.73,9.72% 4.71%,-,0.72,28.86%,8.04%,2.00,28.00,No / Yes,0.72,1.82%,24.10%,0.24,22.10,-5.29%,1.96%,8.24%,Jan 29 BMO,17.98K,22.61,-3.56%,-6.52%,11.43%,,"1,056",2.32%,HNVR
-,7.30,3.33,0.81%,124.28M,-6.91%,3.02B,5.91,25.74%,-0.76%,123.53M,-6.98%,455.36M,0.78,0.88,96.15%,12.74%,-26.85%,5.19B,0.58,-5.07%,0.13%,7.09,-30.77%,25.48,0.95,3.79%,15.74M,-39.36%,13.85,1.75,9.42%,14.19%,23.81 - 44.16,-19.39%,0.68 (2.80%),3.49,5.10%,5.93%,-45.00%,1.30,0.70 (2.87%),1.19,1.07%,30.89%,2.01%,1.09,"Feb 28, 2025",1.40,-31.78%,8.62%,37.82,6.25% 4.05%,5900,2.22,-11.13%,8.78%,2.35,31.50,Yes / Yes,1.43,-607.57%,20.05%,0.58,24.20,-9.01%,-40.97%,-34.71%,Feb 05 BMO,2.22M,24.29,-5.77%,-10.45%,-25.85%,,"317,521",0.36%,HOG
RUT,12.63,0.82,5.05%,120.76M,-1.75%,1.25B,8.10,56.40%,-2.59%,114.67M,-8.50%,99.63M,-,0.13,90.60%,1.67%,-22.27%,1.02B,1.23,0.00%,0.48%,2.57,-13.31%,17.68,0.59,0.55%,1.92M,-6.27%,-,-,-,4.68%,9.80 - 14.53,-15.50%,0.56 (5.39%),11.73,-9.41%,4.38%,-28.55%,0.95,0.56 (5.39%),-,8.57%,-,5.97%,0.28,"Feb 06, 2025",0.04,-25.89%,14.09%,34.59,2.85% 2.46%,1244,0.18,-6.33%,9.75%,2.50,13.50,Yes / Yes,0.06,-8.57%,68.08%,0.38,10.26,-1.63%,41.34%,-7.87%,Jan 27 BMO,745.16K,10.39,-3.17%,-8.86%,-13.70%,,"69,989",1.22%,HOPE
RUT,3.10,32.50,26.41%,5.20M,-7.25%,600.79M,7.19,8.86%,-2.08%,4.36M,-22.51%,227.88M,-,2.45,58.60%,4.88%,-39.86%,3.09B,0.19,-59.03%,-5.40%,2.50,-48.00%,114.12,0.88,9.79%,0.21M,-31.14%,24.18,4.17,-,33.63%,95.26 - 240.34,-24.73%,-,12.62,-,12.59%,-58.09%,2.42,-,0.47,8.71%,18.97%,5.74%,6.05,-,3.41,19.66%,10.04%,32.96,6.18% 5.50%,1878,1.24,8.88%,7.38%,3.00,120.00,No / Yes,1.23,22.87%,0.00%,0.38,101.48,-4.56%,32.10%,13.64%,Feb 24 BMO,84.92K,100.73,-8.23%,-18.36%,-38.80%,,"7,920",-0.74%,HOV
RUT,8.45,3.02,3.97%,99.19M,-0.04%,2.54B,7.52,21.73%,1.66%,95.43M,-5.16%,299.52M,15.37,0.66,105.04%,9.04%,-24.58%,2.76B,0.92,-20.21%,-2.39%,5.13,-16.96%,29.71,0.86,5.85%,8.63M,-34.25%,6.03,4.24,0.55%,10.50%,23.80 - 43.70,-20.17%,1.00 (3.92%),12.51,-,6.33%,-41.51%,1.00,1.00 (3.91%),2.52,7.30%,25.96%,7.39%,1.16,"May 15, 2025",2.81,-27.85%,15.33%,40.90,3.71% 4.43%,7000,0.60,-2.59%,10.87%,2.68,34.93,Yes / Yes,0.60,-42.23%,44.07%,0.39,24.83,-2.22%,4.23%,0.02%,Feb 06 BMO,1.68M,25.56,-1.25%,-14.54%,-23.08%,,"162,049",2.94%,HP
S&P 500,7.59,2.02,0.58%,1.31B,-2.97%,20.15B,7.37,13.85%,-15.79%,1.31B,-27.26%,2.77B,1.37,0.34,84.43%,2.30%,-30.02%,31.15B,0.65,-8.19%,0.63%,1.82,-6.46%,19.21,0.80,4.37%,29.98M,-15.01%,10.55,1.45,5.55%,12.09%,14.64 - 24.66,-28.15%,0.53 (3.49%),12.23,19.99%,7.18%,-37.79%,1.24,0.52 (3.39%),0.98,0.87%,30.19%,4.78%,0.83,"Mar 21, 2025",1.32,43.19%,7.52%,22.63,5.24% 3.73%,61000,0.71,10.93%,8.88%,2.06,19.00,Yes / Yes,0.53,44.30%,27.22%,1.11,14.77,0.51%,-1.39%,16.03%,Mar 06 AMC,16.50M,15.34,-18.28%,-26.20%,-24.35%,,"4,511,118",3.86%,HPE
S&P 500,10.19,2.78,0.25%,944.66M,-7.13%,26.74B,7.52,5.97%,-12.22%,940.33M,-14.16%,2.72B,1.73,0.80,81.77%,2.96%,-18.83%,53.60B,0.50,5.26%,-2.30%,3.98,-15.01%,-1.13,-,7.27%,27.81M,-7.01%,3.07,9.24,5.88%,-,27.42 - 39.79,-13.08%,1.17 (4.11%),8.19,6.29%,34.05%,-28.73%,1.10,1.13 (3.98%),0.42,-1.51%,21.12%,3.41%,0.92,"Mar 12, 2025",0.72,-18.56%,7.37%,29.89,3.60% 2.69%,58000,-,1.03%,5.07%,2.76,36.38,Yes / Yes,-,-4.90%,39.29%,0.42,27.91,0.88%,-0.80%,3.47%,Feb 27 AMC,6.99M,28.36,-10.13%,-12.27%,-18.54%,,"731,212",1.62%,HPQ
-,13.71,3.63,1.30%,133.84M,-10.28%,6.67B,9.66,-2.27%,-0.46%,132.10M,-3.28%,528.26M,1.42,5.17,95.70%,10.61%,-11.59%,3.62B,1.84,19.67%,0.85%,10.84,-20.87%,-6.52,-,19.38%,14.01M,4.23%,2.55,19.52,9.63%,968.17%,45.87 - 68.45,-5.75%,1.52 (3.06%),9.70,15.11%,41.01%,-27.24%,0.46,1.45 (2.90%),0.73,4.06%,44.31%,8.57%,1.61,"Mar 04, 2025",0.73,-2.16%,22.07%,37.04,5.04% 2.88%,70900,-,3.77%,14.59%,2.50,62.33,Yes / Yes,-,-34.69%,30.33%,0.44,49.96,-1.64%,-3.59%,-0.01%,Feb 04 AMC,1.29M,49.80,-5.76%,-6.91%,-12.47%,,"139,889",-0.31%,HRB
RUT,6.82,2.01,26.16%,30.61M,20.25%,419.91M,4.67,31.34%,-0.00%,22.66M,15.19%,61.54M,-,0.33,55.26%,2.89%,11.08%,816.98M,0.51,11.11%,4.27%,3.64,-9.85%,9.50,1.44,4.35%,0.65M,52.91%,-,-,-,24.08%,6.14 - 16.90,13.10%,-,1.78,15.43%,14.24%,-19.02%,1.00,-,-,9.90%,-,122.88%,0.70,"Jun 13, 2022",1.06,16.40%,11.46%,72.22,9.57% 5.57%,566,0.49,10.74%,7.53%,1.67,19.50,Yes / Yes,0.49,-42.62%,0.00%,2.24,12.53,5.20%,17.86%,11.13%,Mar 11 AMC,179.79K,13.69,15.53%,17.89%,22.92%,,"99,623",9.22%,HRTG
-,9.26,6.16,0.00%,3.59B,-1.73%,203.01B,8.16,7.02%,-,3.56B,3.55%,22.92B,1.83,1.55,1.52%,0.27%,18.77%,145.28B,1.40,-0.35%,23.17%,4.08,32.58%,46.22,1.23,0.76%,9.65M,53.60%,-,-,5.07%,13.74%,36.52 - 61.88,15.32%,3.32 (5.83%),-,33.35%,7.99%,-7.83%,0.41,3.30 (5.79%),-,11.87%,-,56.19%,1.28,"Mar 07, 2025",1.46,8.57%,17.38%,53.84,1.74% 1.57%,211000,2.72,6.79%,15.77%,1.33,56.00,Yes / Yes,0.73,238.29%,52.55%,1.41,55.63,0.11%,10.75%,-19.88%,Feb 19 BMO,2.37M,57.03,-0.84%,5.98%,21.40%,,"825,845",2.53%,HSBC
-,3.89,0.24,75.48%,20.86M,-18.19%,19.18M,8.33,-75.28%,-0.21%,5.13M,-35.93%,4.92M,-,0.07,2.93%,0.44%,-42.01%,30.29M,0.63,311.90%,251.16%,0.07,39.69%,0.59,1.54,21.05%,0.02M,-9.28%,0.41,2.24,-,48.70%,0.55 - 3.38,-49.52%,-,-,-34.25%,31.35%,-72.89%,1.87,0.04 (4.37%),1.88,43.58%,57.29%,66.56%,0.14,"Aug 19, 2024",1.88,272.80%,22.27%,30.88,12.80% 11.21%,16,0.37,47.63%,16.24%,1.00,2.75,No / Yes,0.27,578.77%,-,0.28,0.94,3.82%,50.01%,280.69%,Nov 14 BMO,336.29K,0.92,-24.38%,-38.16%,-14.16%,,"23,005",-2.53%,HTCR
RUT,5.48,8.06,51.19%,13.96M,-0.70%,782.22M,13.10,102.10%,0.00%,8.64M,-13.89%,142.30M,-,0.34,48.71%,5.89%,-19.93%,4.31B,0.18,-79.23%,0.60%,6.36,-23.56%,27.27,1.62,6.93%,0.51M,-22.74%,5.46,8.10,-22.17%,32.90%,42.59 - 84.44,-13.21%,-,6.36,30.29%,17.74%,-47.66%,1.28,1.40 (3.17%),0.64,6.17%,22.66%,3.78%,2.00,"Feb 28, 2025",1.35,11.15%,8.09%,33.66,3.79% 4.52%,8500,1.14,4.61%,3.30%,2.00,72.50,Yes / Yes,0.69,-59.69%,17.11%,0.19,43.51,4.43%,-57.97%,3.92%,Feb 25 AMC,79.99K,44.20,-9.14%,-13.14%,-26.80%,,"3,809",1.59%,HY
RUT,9.58,2.38,12.42%,22.71M,-5.99%,518.08M,7.05,35.75%,-0.66%,19.89M,-22.63%,55.20M,0.41,0.18,84.99%,11.82%,-28.05%,2.37B,0.22,11.97%,1.10%,8.15,-25.07%,43.75,0.52,2.14%,2.35M,-26.47%,6.39,3.57,23.15%,5.75%,22.41 - 38.20,-21.19%,-,-,1.01%,3.75%,-40.27%,1.79,-,0.24,15.17%,33.53%,1.81%,1.30,-,1.19,-40.39%,5.02%,29.12,5.43% 4.96%,4050,1.33,-1.73%,2.33%,1.44,38.57,Yes / Yes,0.48,1793.38%,0.00%,0.76,22.76,-3.46%,178.23%,-11.15%,Jan 23 BMO,288.64K,22.82,-9.77%,-17.13%,-25.82%,,"54,588",0.24%,HZO
RUT,11.59,2.12,25.84%,13.18M,-2.51%,324.72M,8.37,15.75%,-31.35%,9.78M,-7.04%,36.95M,-,0.74,66.02%,1.14%,22.16%,521.73M,0.62,20.95%,10.64%,0.58,49.54%,8.26,2.98,12.95%,0.11M,61.94%,1.53,16.07,-,27.88%,13.00 - 27.83,14.54%,-,12.54,24.36%,23.40%,-11.55%,0.74,-,1.44,6.79%,27.28%,89.35%,0.88,-,1.44,35.92%,8.71%,50.55,3.91% 3.83%,30000,0.87,1.65%,7.08%,2.50,26.00,Yes / Yes,0.45,70.98%,0.00%,0.40,24.37,4.50%,16.83%,6.07%,Feb 06 AMC,192.07K,24.61,-2.79%,4.05%,26.75%,,"18,810",1.01%,IBEX
RUT,14.83,5.83,1.58%,18.67M,2.07%,1.59B,11.90,5.40%,-1.03%,18.15M,-20.75%,110.17M,-,1.73,97.42%,5.76%,-34.18%,2.02B,0.79,-7.57%,1.98%,3.39,-46.84%,52.63,1.64,5.04%,1.04M,-43.39%,1.02,84.64,-,11.60%,75.91 - 179.67,-27.52%,-,10.61,10.18%,7.06%,-51.91%,0.46,0.56 (0.65%),1.10,6.55%,33.88%,13.82%,4.52,"Mar 28, 2025",1.10,33.76%,8.28%,33.01,5.04% 4.95%,9300,0.61,2.88%,5.45%,1.80,108.00,Yes / Yes,0.59,11.59%,9.62%,0.19,87.42,0.42%,0.65%,3.76%,Feb 27 AMC,308.56K,86.40,-6.15%,-20.88%,-38.38%,,"14,543",-1.17%,ICFI
-,10.87,0.30,26.11%,14.41M,-0.31%,46.96M,7.41,-10.20%,0.19%,10.64M,4.49%,-,-,0.11,19.19%,0.07%,1.87%,24.83M,1.89,6.52%,-,0.24,6.89%,5.55,0.59,-,0.01M,-3.22%,-,-,-,-,2.91 - 3.67,7.59%,-,-,-,-,-11.25%,1.32,0.48 (14.69%),-,-,-,12.03%,0.08,"Dec 20, 2024",-,-,-,57.66,3.19% 2.60%,-,-,-,-,-,-,Yes / Yes,-,-,-,1.37,3.28,32.77%,60.00%,16.10%,Nov 13 BMO,30.79K,3.26,1.30%,3.93%,2.37%,,"10,022",-0.61%,ICMB
-,10.88,3.03,71.44%,113.29M,2.90%,3.81B,6.75,13.44%,1.12%,32.97M,0.52%,346.31M,0.37,0.89,17.75%,0.31%,13.53%,2.91B,1.31,71.18%,21.12%,0.62,34.45%,25.65,1.29,1.40%,0.10M,18.04%,-,-,29.14%,12.38%,20.56 - 33.62,12.41%,1.49 (4.50%),3.51,-4.57%,6.22%,-1.90%,0.93,1.00 (3.03%),-,7.51%,-,60.41%,0.76,"Apr 17, 2024",0.39,22.11%,15.01%,61.71,2.80% 2.30%,-,1.24,11.87%,11.91%,1.12,36.49,No / Yes,0.92,74.63%,40.13%,0.47,32.44,9.38%,21.79%,71.52%,Feb 06 BMO,164.73K,32.98,2.83%,6.93%,23.68%,,"19,122",1.66%,IFS
RUT,9.70,1.71,44.53%,201.86M,-5.58%,3.35B,11.80,40.25%,0.00%,112.07M,-0.42%,348.00M,0.68,0.20,47.41%,2.74%,-13.06%,3.35B,1.00,49.46%,1.57%,2.20,-22.41%,8.18,2.03,1.21%,3.07M,-29.69%,3.48,4.76,14.22%,8.08%,16.42 - 24.13,-6.12%,0.80 (4.83%),3.86,-,5.04%,-31.29%,1.63,0.80 (4.83%),2.25,-5.79%,47.50%,0.97%,0.51,"Mar 11, 2025",2.29,123.24%,25.58%,37.87,2.95% 3.06%,11019,3.32,-22.16%,10.38%,1.86,23.40,Yes / Yes,3.18,2759.25%,46.90%,0.48,16.47,-0.61%,22.49%,-42.39%,Feb 25 BMO,1.40M,16.58,-5.86%,-4.45%,-16.12%,,"166,006",0.67%,IGT
-,10.15,6.59,69.61%,509.05M,-2.56%,34.07B,10.90,3.15%,0.00%,154.70M,-5.05%,3.50B,6.23,1.52,26.62%,10.18%,-7.86%,35.65B,0.96,-4.58%,0.12%,29.04,1.81%,32.06,2.09,11.45%,15.75M,1.26%,1.34,50.04,1.63%,21.08%,60.95 - 80.17,8.64%,1.90 (2.84%),11.58,24.83%,18.22%,-16.53%,1.13,1.81 (2.71%),0.96,16.86%,14.45%,9.79%,2.18,"Mar 05, 2025",1.33,4.85%,12.52%,46.99,4.19% 3.32%,5100,0.18,-0.39%,9.81%,2.84,72.55,Yes / Yes,0.18,-5.63%,26.59%,0.46,66.62,-12.55%,13.35%,-6.28%,Jan 31 BMO,542.33K,66.92,-1.71%,-1.48%,-4.69%,,"61,416",0.45%,IMO
-,1.60,1.54,38.58%,30.33M,3.15%,74.78M,1.30,171.43%,0.00%,18.63M,-16.15%,50.16M,-,0.04,18.19%,14.70%,-14.99%,147.48M,0.51,-58.82%,3.87%,10.65,-40.53%,14.34,0.17,12.14%,2.74M,-21.99%,6.82,0.36,-,12.81%,2.23 - 4.59,-18.10%,-,25.09,-,12.05%,-46.29%,1.06,-,7.67,113.25%,34.17%,10.55%,0.13,-,7.92,-95.29%,29.72%,40.44,6.66% 5.31%,-,0.00,-19.73%,34.01%,1.00,5.50,Yes / Yes,0.00,150.33%,0.00%,0.29,2.40,-29.16%,-53.85%,-12.28%,Feb 13 BMO,257.12K,2.47,-2.67%,-13.00%,-29.50%,,"18,452",2.72%,IMPP
RUT,7.39,1.80,7.43%,30.55M,-6.74%,407.06M,5.37,14.62%,0.00%,28.37M,-26.79%,58.82M,0.77,0.41,92.10%,3.14%,-38.00%,569.70M,0.71,0.77%,-0.94%,3.34,-25.35%,4.42,3.01,11.32%,0.89M,-34.61%,4.26,3.12,9.56%,41.43%,12.82 - 23.28,-36.25%,-,17.63,27.98%,18.97%,-42.96%,1.00,-,1.96,16.05%,10.33%,3.59%,0.64,-,1.96,8.56%,1.92%,23.05,4.44% 3.74%,523,1.35,-0.20%,10.32%,2.33,20.75,Yes / Yes,1.30,-0.83%,0.00%,0.50,12.96,-2.49%,-4.97%,-3.51%,Feb 26 BMO,266.95K,13.28,-15.01%,-26.41%,-30.81%,,"32,931",2.47%,IMXI
RUT,9.27,2.89,16.59%,8.64M,-5.15%,233.12M,5.28,23.03%,0.00%,7.23M,-16.52%,25.28M,-,0.76,66.22%,0.40%,-35.02%,339.23M,0.69,64.39%,1.71%,0.88,-19.04%,44.43,0.60,0.46%,0.03M,-14.82%,-,-,-,6.77%,24.18 - 43.26,-25.52%,0.24 (0.90%),12.90,2.79%,3.44%,-38.04%,0.54,0.24 (0.90%),-,17.20%,-,10.86%,1.03,"Dec 31, 2024",0.14,200.97%,8.12%,29.06,3.16% 3.50%,323,1.04,27.55%,7.45%,2.20,40.80,Yes / Yes,0.91,75.54%,8.32%,0.11,26.20,-4.85%,-55.24%,27.19%,Jan 22 AMC,32.59K,26.81,-8.46%,-16.24%,-20.99%,,869,2.31%,INBK
-,13.49,9.70,0.93%,64.50M,-3.37%,8.40B,11.38,3.65%,-16.32%,63.59M,2.30%,647.00M,2.65,2.43,90.95%,2.90%,-9.02%,7.43B,1.13,4.18%,2.40%,3.09,-2.64%,58.98,2.22,8.58%,1.84M,11.00%,15.70,8.34,5.09%,17.62%,109.51 - 155.44,-4.84%,3.34 (2.55%),7.40,9.65%,11.28%,-15.78%,0.72,3.16 (2.41%),1.69,4.12%,26.61%,19.54%,3.03,"Apr 01, 2025",2.62,1.35%,16.08%,48.87,3.12% 2.19%,11200,0.53,-8.95%,8.71%,2.12,151.33,Yes / Yes,0.51,-27.59%,32.53%,0.28,130.55,-3.33%,2.57%,-6.30%,Feb 04 BMO,595.74K,130.90,0.50%,-0.77%,-0.31%,,"41,833",0.27%,INGR
RUT,3.89,8.40,19.44%,49.19M,-5.31%,1.61B,5.61,13.74%,-0.20%,39.63M,-17.51%,416.72M,0.74,0.81,74.12%,7.28%,-7.94%,951.61M,1.69,-33.98%,15.23%,2.69,-28.10%,37.73,0.87,16.16%,2.89M,-28.55%,3.20,10.20,5.29%,23.33%,31.14 - 59.40,-7.50%,4.81 (14.73%),6.02,-,16.65%,-45.01%,0.02,0.45 (1.38%),2.86,41.55%,50.25%,4.87%,1.57,"Mar 14, 2025",2.87,-25.50%,44.69%,38.67,4.47% 4.93%,2824,0.38,-11.21%,43.79%,1.20,55.14,Yes / Yes,0.35,-73.00%,68.79%,0.49,32.40,4.62%,7.35%,-22.38%,Feb 27 BMO,1.07M,32.66,-5.43%,-10.50%,-25.84%,,"129,506",0.80%,INSW
RUT,9.81,1.82,46.07%,69.18M,-4.28%,1.24B,9.94,13.46%,0.01%,37.35M,8.43%,92.58M,-,0.36,55.53%,6.28%,24.27%,633.14M,1.95,19.74%,6.69%,4.90,20.99%,13.85,1.29,8.32%,2.34M,-21.76%,1.06,16.89,-,10.07%,12.54 - 25.19,27.92%,-,15.50,125.44%,9.00%,-29.06%,0.79,-,2.28,12.20%,29.49%,42.50%,0.81,-,3.94,10605.17%,6.85%,54.77,4.24% 4.33%,2683,0.10,49.31%,14.62%,3.00,16.00,Yes / Yes,0.07,774.91%,0.00%,0.22,17.34,8.78%,131.20%,98.42%,Feb 25 AMC,478.43K,17.87,2.01%,7.22%,10.90%,,"26,449",3.06%,INVX
S&P 500,14.40,1.83,0.41%,372.40M,-6.59%,9.81B,9.22,8.18%,-3.26%,371.10M,-1.71%,689.50M,4.40,0.27,100.90%,8.95%,-13.36%,10.69B,0.92,-4.74%,-3.66%,5.56,-14.90%,10.20,2.58,3.67%,33.21M,-19.13%,5.87,4.48,3.27%,17.82%,25.97 - 35.17,-6.06%,1.32 (5.03%),10.74,1.71%,8.87%,-25.16%,1.01,1.32 (5.01%),1.09,1.24%,14.60%,1.38%,0.78,"Mar 03, 2025",1.09,-35.74%,13.38%,40.42,4.36% 2.76%,53300,1.12,-1.81%,6.45%,2.20,33.71,Yes / Yes,1.05,-24.04%,72.31%,2.25,26.09,-3.23%,-5.01%,-5.50%,Feb 12 BMO,5.98M,26.32,-3.28%,-4.81%,-11.09%,,"3,323,896",0.89%,IPG
RUT,8.30,2.04,13.55%,9.83M,-3.31%,166.55M,7.56,30.17%,0.64%,8.50M,-12.27%,20.25M,-,0.35,58.95%,1.38%,-27.56%,157.44M,1.06,-8.82%,3.50%,3.78,-3.86%,24.55,0.69,0.73%,0.12M,6.54%,-,-,-,8.65%,14.60 - 24.81,-22.81%,0.43 (2.54%),10.60,4.16%,6.16%,-31.67%,0.55,0.41 (2.42%),-,10.46%,-,16.10%,0.47,"Dec 31, 2024",0.02,21.85%,15.18%,26.33,2.78% 2.42%,335,0.43,11.56%,12.86%,1.67,22.50,No / Yes,0.36,68.58%,20.12%,0.07,16.88,9.93%,66.67%,5.39%,Jan 23 AMC,30.96K,16.95,-6.41%,-11.08%,-11.06%,,539,0.41%,ISTR
-,7.69,0.77,0.59%,4.82B,4.84%,28.69B,6.89,8.94%,0.00%,4.79B,2.66%,7.64B,0.89,0.19,19.04%,0.73%,10.58%,63.14B,0.45,8.63%,-,1.31,-7.32%,3.50,1.70,1.54%,34.93M,-9.97%,-,-,8.69%,20.84%,4.81 - 6.72,21.43%,0.51 (8.54%),1.49,1.98%,8.79%,-11.42%,0.65,0.27 (4.59%),-,7.84%,-,23.85%,0.13,"Apr 02, 2025",0.70,15.17%,15.38%,64.92,1.72% 1.87%,96705,4.32,-7.01%,12.10%,1.67,7.25,Yes / Yes,1.54,4.86%,21.82%,0.74,5.72,5.03%,1.39%,-16.99%,Feb 05 AMC,26.71M,5.95,4.53%,7.50%,2.13%,,"4,969,423",4.11%,ITUB
RUT,13.22,0.65,0.29%,61.73M,-2.01%,527.49M,3.59,2.53%,0.00%,61.55M,1.85%,34.76M,-,0.58,43.26%,10.83%,-0.64%,450.50M,1.17,-19.28%,13.71%,4.48,-1.67%,9.01,0.95,1.10%,6.67M,-8.51%,3.42,2.50,-9.93%,7.97%,7.47 - 9.97,6.15%,1.60 (18.72%),2.88,-51.53%,4.76%,-14.29%,1.35,1.60 (18.72%),-,-211.85%,97.37%,14.31%,0.18,"Dec 30, 2024",-,181.05%,68.77%,48.29,2.38% 2.13%,-,6.70,137.36%,7.72%,2.60,9.00,Yes / Yes,0.00,-119.57%,247.52%,1.14,8.49,-71.76%,-20.49%,239.49%,Feb 20 AMC,1.49M,8.55,-1.82%,1.53%,-1.61%,,"424,753",0.65%,IVR
S&P 500,12.88,1.18,1.73%,448.00M,-2.50%,6.82B,7.36,11.24%,0.00%,439.86M,-16.63%,538.00M,1.05,0.40,90.24%,2.51%,-17.40%,6.01B,1.14,8.85%,4.32%,2.51,-3.54%,23.55,0.65,2.77%,11.05M,-2.18%,3.34,4.56,12.25%,5.31%,14.16 - 19.55,-12.81%,0.87 (5.68%),5.28,-1.69%,2.44%,-22.05%,1.24,0.82 (5.38%),-,0.07%,63.30%,7.63%,0.58,"Feb 14, 2025",-,258.61%,13.31%,33.36,4.15% 3.25%,8508,0.52,3.97%,8.95%,2.84,19.56,Yes / Yes,0.51,128.05%,69.23%,0.42,14.95,0.60%,10.61%,7.69%,Jan 28 BMO,4.40M,15.24,-8.56%,-12.49%,-10.14%,,"460,912",1.94%,IVZ
-,9.20,2.29,0.02%,1.14B,-0.42%,22.97B,1.74,8.57%,0.00%,1.09B,5.38%,2.64B,0.78,3.82,2.21%,0.07%,-5.19%,19.36B,1.19,16.23%,-,4.14,-11.95%,22.80,0.93,2.40%,0.78M,-1.40%,7.31,2.89,11.87%,10.07%,18.11 - 25.17,-0.59%,4.34 (20.57%),2.83,-2.00%,4.21%,-16.09%,0.79,0.77 (3.65%),-,-2.60%,42.22%,16.59%,0.37,"Sep 30, 2024",-,34.40%,20.51%,55.37,1.57% 1.47%,33807,1.59,0.31%,13.63%,1.89,127.05,No / Yes,1.41,-4.05%,26.94%,0.50,20.91,0.80%,-4.65%,7.47%,Feb 10 AMC,188.61K,21.12,2.32%,1.30%,-4.64%,,"23,396",1.00%,IX
RUT,8.09,3.02,25.97%,11.03M,-4.79%,272.64M,6.23,5.65%,-1.64%,8.25M,-25.88%,35.25M,-,-1.31,52.89%,2.39%,-11.79%,691.04M,0.39,-1.98%,8.39%,1.43,4.98%,21.80,1.12,8.04%,0.20M,-5.89%,6.29,3.89,-,15.57%,17.06 - 35.79,-13.11%,-,9.84,-,12.21%,-31.66%,1.88,0.25 (1.02%),1.44,4.25%,30.77%,43.34%,1.28,"Mar 03, 2025",1.80,-14.25%,5.74%,31.29,5.44% 4.56%,680,0.24,-2.88%,5.10%,1.00,43.00,Yes / Yes,0.20,25.81%,0.00%,0.62,24.45,-0.25%,8.22%,2.63%,Feb 20 AMC,138.09K,24.46,-12.70%,-15.55%,-2.11%,,"21,506",0.04%,JAKK
