Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
EBR,Centrais Eletricas Brasileiras S.A. ADR,Utilities,Utilities - Renewable,Brazil,13.74B,8.51,6.99,2.04%,"445,570"
EC,Ecopetrol SA ADR,Energy,Oil & Gas Integrated,Colombia,20.66B,5.63,10.05,2.76%,"524,441"
ECG,Everus Construction Group,Industrials,Engineering & Construction,USA,2.04B,14.19,39.92,5.64%,"51,475"
ECO,Okeanis Eco Tankers Corp,Industrials,Marine Shipping,Greece,682.70M,6.37,21.55,0.51%,"19,674"
EFSI,"Eagle Financial Services, Inc",Financial,Banks - Regional,USA,166.66M,7.55,32.60,0.15%,"4,013"
EG,Everest Group Ltd,Financial,Insurance - Reinsurance,Bermuda,15.23B,11.15,354.70,1.46%,"42,834"
EGY,"VAALCO Energy, Inc",Energy,Oil & Gas E&P,USA,451.91M,5.00,4.30,13.46%,"626,169"
EIG,Employers Holdings Inc,Financial,Insurance - Specialty,USA,1.21B,10.58,49.82,0.37%,"9,786"
ELP,Cia Paranaense De Energia Copel ADR,Utilities,Utilities - Regulated Electric,Brazil,596.61M,2.25,7.11,2.23%,"20,018"
EMBC,Embecta Corp,Healthcare,Medical Instruments & Supplies,USA,750.06M,12.83,12.90,-0.75%,"54,718"
EMN,Eastman Chemical Co,Basic Materials,Specialty Chemicals,USA,10.53B,11.89,91.42,0.97%,"131,745"
ENS,Enersys,Industrials,Electrical Equipment & Parts,USA,3.73B,11.70,94.54,0.60%,"36,849"
ENVA,Enova International Inc,Financial,Credit Services,USA,2.32B,12.09,89.92,3.13%,"75,785"
EPD,Enterprise Products Partners L P,Energy,Oil & Gas Midstream,USA,72.40B,12.43,33.43,1.40%,"617,022"
EQH,Equitable Holdings Inc,Financial,Asset Management,USA,15.64B,13.29,50.80,2.54%,"377,492"
EQNR,Equinor ASA ADR,Energy,Oil & Gas Integrated,Norway,65.62B,7.71,24.00,0.92%,"548,073"
ESEA,Euroseas Ltd,Industrials,Marine Shipping,Greece,227.63M,2.00,32.30,-0.62%,"9,095"
ET,Energy Transfer LP,Energy,Oil & Gas Midstream,USA,63.98B,14.50,18.65,2.61%,"3,141,106"
ETD,"Ethan Allen Interiors, Inc",Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,671.10M,11.06,26.39,0.19%,"32,058"
EZPW,"EZCorp, Inc",Financial,Credit Services,USA,730.13M,11.90,13.29,1.14%,"67,739"
F,Ford Motor Co,Consumer Cyclical,Auto Manufacturers,USA,38.50B,6.65,9.72,1.94%,"28,877,933"
FBIZ,First Business Financial Services Inc,Financial,Banks - Regional,USA,389.04M,8.98,46.87,0.40%,"3,343"
FCCO,First Community Corp,Financial,Banks - Regional,USA,171.76M,12.40,22.48,3.55%,"16,441"
FCNCA,"First Citizens Bancshares, Inc (NC)",Financial,Banks - Regional,USA,23.70B,9.29,1759.59,1.20%,"15,769"
FDP,Fresh Del Monte Produce Inc,Consumer Defensive,Farm Products,USA,1.44B,10.13,30.01,-0.33%,"18,719"
FFBC,First Financial Bancorp,Financial,Banks - Regional,USA,2.35B,10.25,24.59,1.40%,"40,448"
FG,F&G Annuities & Life Inc,Financial,Insurance - Life,USA,5.24B,8.70,41.35,2.68%,"11,132"
FGBI,First Guaranty Bancshares Inc,Financial,Banks - Regional,USA,85.03M,8.12,6.80,1.49%,"3,677"
FHI,Federated Hermes Inc,Financial,Asset Management,USA,3.09B,11.93,38.06,1.27%,"57,299"
FHN,First Horizon Corporation,Financial,Banks - Regional,USA,9.79B,13.84,18.77,1.68%,"946,518"
FINV,FinVolution Group ADR,Financial,Credit Services,China,1.27B,7.52,8.71,4.94%,"257,354"
FITB,Fifth Third Bancorp,Financial,Banks - Regional,USA,25.47B,12.16,38.12,1.72%,"718,135"
FLEX,Flex Ltd,Technology,Electronic Components,USA,13.16B,13.91,34.35,2.20%,"625,211"
FLR,Fluor Corporation,Industrials,Engineering & Construction,USA,6.16B,2.99,36.48,4.40%,"431,214"
FLXS,"Flexsteel Industries, Inc",Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,207.56M,11.00,39.39,1.05%,"1,411"
FMAO,Farmers & Merchants Bancorp Inc,Financial,Banks - Regional,USA,328.53M,12.80,23.98,2.22%,"1,204"
FMBH,First Mid Bancshares Inc,Financial,Banks - Regional,USA,847.53M,10.72,35.34,1.03%,"3,169"
FMNB,Farmers National Banc Corp,Financial,Banks - Regional,USA,491.62M,10.68,13.07,-0.23%,"4,001"
FNB,F.N.B. Corp,Financial,Banks - Regional,USA,4.79B,10.53,13.32,1.64%,"305,892"
FNF,Fidelity National Financial Inc,Financial,Insurance - Specialty,USA,17.54B,13.70,63.78,0.91%,"144,848"
FOR,Forestar Group Inc,Real Estate,Real Estate - Development,USA,1.07B,5.93,21.17,0.50%,"9,113"
FOX,Fox Corporation,Communication Services,Entertainment,USA,22.56B,10.24,47.85,1.55%,"157,558"
FOXA,Fox Corporation,Communication Services,Entertainment,USA,22.55B,11.08,51.80,1.50%,"477,302"
FRBA,First Bank (NJ),Financial,Banks - Regional,USA,369.35M,8.82,14.69,1.07%,363
FRO,Frontline Plc,Energy,Oil & Gas Midstream,Cyprus,3.41B,6.89,15.34,-1.89%,"1,043,349"
FSBW,FS Bancorp Inc,Financial,Banks - Regional,USA,283.38M,8.25,36.25,0.06%,"2,526"
FSFG,First Savings Financial Group Inc,Financial,Banks - Regional,USA,174.80M,9.22,25.28,0.76%,509
FSM,Fortuna Mining Corp,Basic Materials,Gold,Canada,1.68B,13.53,5.47,0.83%,"2,740,697"
FSTR,L.B. Foster Co,Industrials,Railroads,USA,219.46M,5.23,20.41,2.56%,983
FSUN,Firstsun Capital Bancorp,Financial,Banks - Regional,USA,1.07B,14.25,38.38,0.24%,"2,502"
FTDR,Frontdoor Inc,Consumer Cyclical,Personal Services,USA,2.83B,12.51,37.83,1.71%,"118,325"
FTI,TechnipFMC plc,Energy,Oil & Gas Equipment & Services,USA,11.37B,14.10,27.03,2.02%,"548,137"
FULT,Fulton Financial Corp,Financial,Banks - Regional,USA,3.24B,11.31,17.78,1.63%,"106,629"
FUNC,First United Corp,Financial,Banks - Regional,USA,195.87M,9.62,30.28,3.01%,"1,925"
FVCB,FVCBankcorp Inc,Financial,Banks - Regional,USA,190.79M,12.89,10.48,4.70%,812
GAP,"Gap, Inc",Consumer Cyclical,Apparel Retail,USA,7.60B,9.13,20.15,-2.94%,"2,331,984"
GASS,StealthGas Inc,Industrials,Marine Shipping,Greece,204.65M,2.85,5.57,0.00%,"15,377"
GBLI,Global Indemnity Group LLC,Financial,Insurance - Property & Casualty,USA,508.24M,11.44,35.65,-2.48%,"2,024"
GBX,"Greenbrier Cos., Inc",Industrials,Railroads,USA,1.71B,9.45,54.62,0.51%,"20,066"
GCT,GigaCloud Technology Inc,Technology,Software - Infrastructure,USA,601.22M,4.91,15.01,4.57%,"264,141"
GDEV,GDEV Inc,Communication Services,Electronic Gaming & Multimedia,Cyprus,270.51M,6.97,14.94,-2.35%,"5,319"
GES,Guess Inc,Consumer Cyclical,Apparel Retail,Switzerland,483.61M,7.08,9.40,1.39%,"174,103"
GFF,Griffon Corp,Industrials,Conglomerates,USA,3.26B,13.99,68.65,0.51%,"22,810"
GGAL,Grupo Financiero Galicia ADR,Financial,Banks - Regional,Argentina,7.77B,6.46,58.65,2.64%,"158,927"
GGB,Gerdau S.A. ADR,Basic Materials,Steel,Brazil,3.81B,7.67,2.93,4.82%,"1,724,909"
GHC,Graham Holdings Co,Consumer Defensive,Education & Training Services,USA,4.05B,5.65,932.16,3.59%,"4,298"
GHLD,Guild Holdings Co,Financial,Mortgage Finance,USA,813.64M,8.54,13.14,-0.20%,"5,036"
GIC,Global Industrial Co,Industrials,Industrial Distribution,USA,856.07M,14.16,22.34,1.11%,"9,949"
GIFI,"Gulf Island Fabrication, Inc",Industrials,Metal Fabrication,USA,100.77M,7.00,6.16,0.08%,"3,030"
GIII,G-III Apparel Group Ltd,Consumer Cyclical,Apparel Manufacturing,USA,1.15B,6.11,26.16,0.21%,"126,579"
GIS,"General Mills, Inc",Consumer Defensive,Packaged Foods,USA,32.85B,12.97,59.59,-0.44%,"1,031,896"
GL,Globe Life Inc,Financial,Insurance - Life,USA,10.30B,10.28,122.85,0.74%,"127,235"
GLDD,Great Lakes Dredge & Dock Corporation,Industrials,Engineering & Construction,USA,570.69M,10.04,8.48,8.19%,"155,329"
GLRE,Greenlight Capital Re Ltd,Financial,Insurance - Reinsurance,Cayman Islands,456.87M,10.71,13.22,0.44%,"18,230"
GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,USA,48.27B,7.90,48.51,2.97%,"3,993,136"
GNK,Genco Shipping & Trading Limited,Industrials,Marine Shipping,USA,590.06M,7.88,13.80,-0.93%,"105,419"
GNW,Genworth Financial Inc,Financial,Insurance - Life,USA,2.74B,9.69,6.53,1.24%,"617,093"
GOGL,Golden Ocean Group Limited,Industrials,Marine Shipping,Bermuda,1.53B,6.85,7.66,-2.86%,"773,903"
GPI,"Group 1 Automotive, Inc",Consumer Cyclical,Auto & Truck Dealerships,USA,5.10B,10.49,384.70,-0.14%,"58,403"
GPK,Graphic Packaging Holding Co,Consumer Cyclical,Packaging & Containers,USA,7.88B,12.18,26.24,0.11%,"246,600"
GPRK,Geopark Limited,Energy,Oil & Gas E&P,Colombia,415.44M,4.14,8.12,3.84%,"184,662"
GRBK,Green Brick Partners Inc,Consumer Cyclical,Residential Construction,USA,2.55B,6.80,57.37,0.12%,"36,840"
GS,"Goldman Sachs Group, Inc",Financial,Capital Markets,USA,167.28B,13.22,536.10,2.15%,"895,624"
GSBC,"Great Southern Bancorp, Inc",Financial,Banks - Regional,USA,657.19M,10.77,56.67,1.31%,"1,911"
GSL,Global Ship Lease Inc,Industrials,Rental & Leasing Services,Greece,808.52M,2.36,22.93,-0.22%,"55,562"
GTN,Gray Media Inc,Communication Services,Broadcasting,USA,459.66M,1.30,4.32,2.61%,"403,437"
GTX,Garrett Motion Inc,Consumer Cyclical,Auto Parts,Switzerland,1.82B,6.99,8.86,2.13%,"76,832"
HAFC,Hanmi Financial Corp,Financial,Banks - Regional,USA,653.75M,10.55,21.65,1.64%,"20,606"
HAFN,Hafnia Ltd,Industrials,Marine Shipping,Singapore,2.14B,2.83,4.26,0.12%,"368,508"
HAL,Halliburton Co,Energy,Oil & Gas Equipment & Services,USA,21.48B,8.74,24.75,1.66%,"1,633,053"
HBAN,"Huntington Bancshares, Inc",Financial,Banks - Regional,USA,21.32B,11.97,14.60,2.21%,"2,876,043"
HBCP,Home Bancorp Inc,Financial,Banks - Regional,USA,358.24M,9.72,44.24,1.70%,"31,045"
HCA,HCA Healthcare Inc,Healthcare,Medical Care Facilities,USA,78.41B,14.48,318.48,1.17%,"167,564"
HCC,Warrior Met Coal Inc,Basic Materials,Coking Coal,USA,2.56B,10.17,48.72,0.86%,"93,188"
HDSN,"Hudson Technologies, Inc",Basic Materials,Specialty Chemicals,USA,264.15M,11.71,6.00,0.84%,"77,759"
HELE,Helen of Troy Ltd,Consumer Defensive,Household & Personal Products,Bermuda,1.16B,10.25,50.87,0.24%,"38,530"
HG,Hamilton Insurance Group Ltd,Financial,Insurance - Reinsurance,Bermuda,2.05B,5.30,20.18,-0.20%,"92,811"
HGBL,Heritage Global Inc,Financial,Capital Markets,USA,82.14M,7.98,2.20,5.25%,"217,869"
HIG,Hartford Insurance Group Inc.(The),Financial,Insurance - Property & Casualty,USA,33.46B,11.32,117.25,0.65%,"112,168"
HII,Huntington Ingalls Industries Inc,Industrials,Aerospace & Defense,USA,7.74B,14.14,197.27,0.90%,"134,914"
HLF,Herbalife Ltd,Consumer Defensive,Packaged Foods,USA,797.31M,3.16,7.88,-2.37%,"421,789"
HMC,Honda Motor ADR,Consumer Cyclical,Auto Manufacturers,Japan,45.30B,6.81,29.30,1.61%,"179,817"
HMY,Harmony Gold Mining Co Ltd ADR,Basic Materials,Gold,South Africa,7.57B,13.23,12.16,-0.37%,"1,355,084"
HNVR,Hanover Bancorp Inc,Financial,Banks - Regional,USA,162.54M,14.01,22.73,2.83%,771
HOG,"Harley-Davidson, Inc",Consumer Cyclical,Recreational Vehicles,USA,3.03B,7.31,24.31,0.45%,"275,277"
HOPE,Hope Bancorp Inc,Financial,Banks - Regional,USA,1.25B,12.61,10.38,1.12%,"65,840"
HOV,"Hovnanian Enterprises, Inc",Consumer Cyclical,Residential Construction,USA,605.41M,3.12,101.50,0.02%,"6,914"
HP,"Helmerich & Payne, Inc",Energy,Oil & Gas Drilling,USA,2.54B,8.46,25.58,3.02%,"157,979"
HPE,Hewlett Packard Enterprise Co,Technology,Communication Equipment,USA,20.15B,7.59,15.34,3.85%,"4,365,054"
HPQ,HP Inc,Technology,Computer Hardware,USA,26.71B,10.18,28.33,1.51%,"628,947"
HRB,H&R Block Inc,Consumer Cyclical,Personal Services,USA,6.67B,13.72,49.85,-0.22%,"128,651"
HRTG,Heritage Insurance Holdings Inc,Financial,Insurance - Property & Casualty,USA,419.12M,6.80,13.66,9.01%,"95,206"
HSBC,HSBC Holdings plc ADR,Financial,Banks - Diversified,United Kingdom,202.90B,9.26,57.01,2.47%,"727,648"
HTCR,HeartCore Enterprises Inc,Technology,Software - Application,Japan,19.17M,3.89,0.92,-2.57%,"22,191"
HY,Hyster Yale Inc,Industrials,Farm & Heavy Construction Machinery,USA,778.42M,5.46,43.99,1.09%,"3,681"
HZO,"Marinemax, Inc",Consumer Cyclical,Specialty Retail,USA,515.46M,9.53,22.70,-0.26%,"51,057"
IBEX,IBEX Ltd,Technology,Information Technology Services,USA,323.80M,11.56,24.55,0.72%,"17,752"
ICFI,"ICF International, Inc",Industrials,Consulting Services,USA,1.59B,14.84,86.47,-1.08%,"13,898"
ICMB,Investcorp Credit Management BDC Inc,Financial,Asset Management,USA,46.96M,10.87,3.26,-0.61%,"10,022"
